draw_j,source_id,card,raw_listing,metadata,compatible_30fps,probe_status
0,5_sp7Q8AHcU,card_00_5_sp7Q8AHcU.txt,raw_formats/5_sp7Q8AHcU.txt,metadata/5_sp7Q8AHcU.json,YES,OK
1,BV7nede6C6k,card_01_BV7nede6C6k.txt,raw_formats/BV7nede6C6k.txt,metadata/BV7nede6C6k.json,NO,OK
2,PDVNoSynU7Y,card_02_PDVNoSynU7Y.txt,raw_formats/PDVNoSynU7Y.txt,metadata/PDVNoSynU7Y.json,YES,OK
3,UjX5lMFlwhA,card_03_UjX5lMFlwhA.txt,raw_formats/UjX5lMFlwhA.txt,metadata/UjX5lMFlwhA.json,NO,OK
4,WE47jDv_JLs,card_04_WE47jDv_JLs.txt,raw_formats/WE47jDv_JLs.txt,metadata/WE47jDv_JLs.json,NO,OK
5,Y8Twp7LgPb8,card_05_Y8Twp7LgPb8.txt,raw_formats/Y8Twp7LgPb8.txt,metadata/Y8Twp7LgPb8.json,YES,OK
6,fixywKCSSpw,card_06_fixywKCSSpw.txt,raw_formats/fixywKCSSpw.txt,metadata/fixywKCSSpw.json,NO,OK
7,g0lXjTWhxQo,card_07_g0lXjTWhxQo.txt,raw_formats/g0lXjTWhxQo.txt,metadata/g0lXjTWhxQo.json,YES,OK
8,iiBVytTmfKw,card_08_iiBVytTmfKw.txt,raw_formats/iiBVytTmfKw.txt,metadata/iiBVytTmfKw.json,YES,OK
9,iwnByd_Iowk,card_09_iwnByd_Iowk.txt,raw_formats/iwnByd_Iowk.txt,metadata/iwnByd_Iowk.json,YES,OK
10,mxV9XV3uwVs,card_10_mxV9XV3uwVs.txt,raw_formats/mxV9XV3uwVs.txt,metadata/mxV9XV3uwVs.json,YES,OK
11,pYCgIuP6-e0,card_11_pYCgIuP6-e0.txt,raw_formats/pYCgIuP6-e0.txt,metadata/pYCgIuP6-e0.json,YES,OK
12,qTISjk2vR1U,card_12_qTISjk2vR1U.txt,raw_formats/qTISjk2vR1U.txt,metadata/qTISjk2vR1U.json,NO,OK
13,y8UQxPOVdbE,card_13_y8UQxPOVdbE.txt,raw_formats/y8UQxPOVdbE.txt,metadata/y8UQxPOVdbE.json,YES,OK
14,-sZHSUp1WV4,card_14_-sZHSUp1WV4.txt,raw_formats/-sZHSUp1WV4.txt,metadata/-sZHSUp1WV4.json,NO,OK
15,1MQ38PsSviw,card_15_1MQ38PsSviw.txt,raw_formats/1MQ38PsSviw.txt,metadata/1MQ38PsSviw.json,NO,OK
16,2UNJe2grSzo,card_16_2UNJe2grSzo.txt,raw_formats/2UNJe2grSzo.txt,metadata/2UNJe2grSzo.json,NO,OK
17,EIcNJX8JyA0,card_17_EIcNJX8JyA0.txt,raw_formats/EIcNJX8JyA0.txt,metadata/EIcNJX8JyA0.json,NO,OK
18,OFbyNU6UQQs,card_18_OFbyNU6UQQs.txt,raw_formats/OFbyNU6UQQs.txt,metadata/OFbyNU6UQQs.json,YES,OK
19,T1LZvhP3AeM,card_19_T1LZvhP3AeM.txt,raw_formats/T1LZvhP3AeM.txt,metadata/T1LZvhP3AeM.json,NO,OK
20,adN6aEmgK5Y,card_20_adN6aEmgK5Y.txt,raw_formats/adN6aEmgK5Y.txt,metadata/adN6aEmgK5Y.json,NO,OK
21,df0jesjE3yk,card_21_df0jesjE3yk.txt,raw_formats/df0jesjE3yk.txt,metadata/df0jesjE3yk.json,NO,OK
22,prxLSgEkawg,card_22_prxLSgEkawg.txt,raw_formats/prxLSgEkawg.txt,metadata/prxLSgEkawg.json,NO,OK
23,rOdFBZJRwEo,card_23_rOdFBZJRwEo.txt,raw_formats/rOdFBZJRwEo.txt,metadata/rOdFBZJRwEo.json,NO,OK
24,vq17CRazqJo,card_24_vq17CRazqJo.txt,raw_formats/vq17CRazqJo.txt,metadata/vq17CRazqJo.json,NO,OK
25,zyV1NxdXo2c,card_25_zyV1NxdXo2c.txt,raw_formats/zyV1NxdXo2c.txt,metadata/zyV1NxdXo2c.json,NO,OK
26,Lp3An-07otU,card_26_Lp3An-07otU.txt,raw_formats/Lp3An-07otU.txt,metadata/Lp3An-07otU.json,NO,OK
27,-0XiPUZXBcM,card_27_-0XiPUZXBcM.txt,raw_formats/-0XiPUZXBcM.txt,metadata/-0XiPUZXBcM.json,NO,OK
28,veDVH4y_6_c,card_28_veDVH4y_6_c.txt,raw_formats/veDVH4y_6_c.txt,metadata/veDVH4y_6_c.json,NO,OK
29,e3E_WApsLV4,card_29_e3E_WApsLV4.txt,raw_formats/e3E_WApsLV4.txt,metadata/e3E_WApsLV4.json,YES,OK
