order,competition,tag,query,source_id,ytid,duration_s,dur,title,discovered_at
22,nba,.,NBA full game 2024,-0XiPUZXBcM,-0XiPUZXBcM,8098,8098,2024 NBA Finals Game 5 Sky Cam Full Game: DAL vs BOS,2026-09-11T18:09:57Z
39,wnba,.,WNBA full game 2025,veDVH4y_6_c,veDVH4y_6_c,4079,4079,"Fever Vs. Connecticut Sun | FULL GAME - Jun,13 | WNBA Commis",2026-09-11T18:10:02Z
125,basketball,gleague,G League full game 2025,Lp3An-07otU,Lp3An-07otU,6270,6270,NRL 2026 | Dragons v Eels | Full Match Replay | Round 27,2026-09-11T18:10:28Z
179,wnba,.,WNBA full game replay 2025,e3E_WApsLV4,e3E_WApsLV4,5942,5942,Indiana Fever VS Chicago Sky Full Full Game Highlights July ,2026-09-11T18:10:41Z
180,basketball,eurocup,EuroCup full game replay,EIcNJX8JyA0,EIcNJX8JyA0,10815,10815,THRILLING OVERTIME NIGHT! | London - Paris | 2023-24 EuroCup,2026-09-11T18:10:46Z
181,basketball,eurocup,EuroCup full game replay,T1LZvhP3AeM,T1LZvhP3AeM,9546,9546,MVP SHORTS leads PARIS to the TRIUMPH! | Bourg - Paris | 202,2026-09-11T18:10:46Z
182,basketball,eurocup,EuroCup full game replay,zyV1NxdXo2c,zyV1NxdXo2c,9398,9398,TEODOSIC leads VIRTUS to the EuroCup title | Virtus - Frutti,2026-09-11T18:10:46Z
183,basketball,eurocup,EuroCup full game replay,vq17CRazqJo,vq17CRazqJo,8703,8703,SPECTACULAR FIRST HALF boosts the hometeam! | Paris - Bourg ,2026-09-11T18:10:46Z
184,basketball,eurocup,EuroCup full game replay,2UNJe2grSzo,2UNJe2grSzo,9770,9770,Sevilla v Roma (1-1) (Sevilla win 4-1 on penalties) | Europa,2026-09-11T18:10:46Z
185,basketball,eurocup,EuroCup full game replay,df0jesjE3yk,df0jesjE3yk,9480,9480,Valencia BECOMES FIRST-EVER EuroCup Champion | Game 2 vs Krk,2026-09-11T18:10:46Z
186,basketball,eurocup,EuroCup full game replay,rOdFBZJRwEo,rOdFBZJRwEo,9671,9671,RESILIENCE right to THE END! | Gran Canaria - Turk Telekom |,2026-09-11T18:10:46Z
187,basketball,eurocup,EuroCup full game replay,OFbyNU6UQQs,OFbyNU6UQQs,5989,5989,FULL MATCH: Portugal v Spain | 2018 FIFA World Cup,2026-09-11T18:10:46Z
188,basketball,eurocup,EuroCup full game replay,1MQ38PsSviw,1MQ38PsSviw,8726,8726,Lietuvos Rytas MAKES HISTORY! 📖 2009 EuroCup Final vs. Khimk,2026-09-11T18:10:46Z
189,basketball,eurocup,EuroCup full game replay,adN6aEmgK5Y,adN6aEmgK5Y,9584,9584,Dynamo Moscow CROWNED EuroCup KING 👑 | 2006 Final vs. Aris |,2026-09-11T18:10:46Z
191,basketball,eurocup,EuroCup full game replay,-sZHSUp1WV4,-sZHSUp1WV4,6923,6923,Joventut’s DEFENSIVE MASTERCLASS 🔒 | 2008 EuroCup Final vs. ,2026-09-11T18:10:46Z
193,basketball,eurocup,EuroCup full game replay,prxLSgEkawg,prxLSgEkawg,9182,9182,50-POINTS SECOND HALF makes the DIFFERENCE! | Besiktas - Bou,2026-09-11T18:10:46Z
195,basketball,bcl,Basketball Champions League full game,BV7nede6C6k,BV7nede6C6k,7781,7781,Juventus Utena v SIG Strasbourg - Full Game - Basketball Cha,2026-09-11T18:10:50Z
196,basketball,bcl,Basketball Champions League full game,iwnByd_Iowk,iwnByd_Iowk,7162,7162,Hapoel U-net Holon v SIG Strasbourg - Full Game | Basketball,2026-09-11T18:10:50Z
197,basketball,bcl,Basketball Champions League full game,g0lXjTWhxQo,g0lXjTWhxQo,8870,8870,Filou Oostende v Hapoel Atsmon Holon | Full Game | Basketbal,2026-09-11T18:10:50Z
198,basketball,bcl,Basketball Champions League full game,Y8Twp7LgPb8,Y8Twp7LgPb8,8115,8115,Limoges CSP v BAXI Manresa | Full Game | Basketball Champion,2026-09-11T18:10:50Z
199,basketball,bcl,Basketball Champions League full game,pYCgIuP6-e0,pYCgIuP6-e0,9069,9069,MHP Riesen Ludwigsburg v BAXI Manresa | Semi-Final | Full Ga,2026-09-11T18:10:50Z
200,basketball,bcl,Basketball Champions League full game,iiBVytTmfKw,iiBVytTmfKw,8285,8285,Hapoel Atsmon Holon v Hapoel Jerusalem | Full Game | Basketb,2026-09-11T18:10:50Z
201,basketball,bcl,Basketball Champions League full game,y8UQxPOVdbE,y8UQxPOVdbE,7534,7534,BAXI Manresa v Darüssafaka - Full Game | Basketball Champion,2026-09-11T18:10:50Z
202,basketball,bcl,Basketball Champions League full game,5_sp7Q8AHcU,5_sp7Q8AHcU,7184,7184,JDA Bourgogne Dijon v Unicaja | Full Game | Basketball Champ,2026-09-11T18:10:50Z
203,basketball,bcl,Basketball Champions League full game,mxV9XV3uwVs,mxV9XV3uwVs,7500,7500,BAXI Manresa v Nutribullet Treviso | Full Game| Basketball C,2026-09-11T18:10:50Z
204,basketball,bcl,Basketball Champions League full game,WE47jDv_JLs,WE47jDv_JLs,10387,10387,AS Monaco v AEK - Final - Full Game - Basketball Champions L,2026-09-11T18:10:50Z
205,basketball,bcl,Basketball Champions League full game,qTISjk2vR1U,qTISjk2vR1U,8020,8020,Partizan v PAOK - Full Game - Play-Off Qualifiers 2 - Basket,2026-09-11T18:10:50Z
206,basketball,bcl,Basketball Champions League full game,fixywKCSSpw,fixywKCSSpw,7297,7297,Hapoel Jerusalem v Iberostar Tenerife - Full Game - Qtr-Fina,2026-09-11T18:10:50Z
207,basketball,bcl,Basketball Champions League full game,PDVNoSynU7Y,PDVNoSynU7Y,7471,7471,Darüssafaka v BAXI Manresa - Full Game | Basketball Champion,2026-09-11T18:10:50Z
208,basketball,bcl,Basketball Champions League full game,UjX5lMFlwhA,UjX5lMFlwhA,7500,7500,Stelmet Zielona Gora v MHP RIESEN Ludwigsburg - Full Game - ,2026-09-11T18:10:50Z
