draw_j,source_id,competition,tag,query,discovered_at,format_probe_at,compatible_30fps,qualifying_format_ids,listing_qualifying_ids,metadata_qualifying_ids,listing_complete,metadata_complete,listing_formats,metadata_formats,probe_status,raw_inventory_digest,error,hls_h264_720_1080_fps_set,720p30,1080p30,720p60,1080p60
0,5_sp7Q8AHcU,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:13:07Z,YES,232|270,232|270,232|270,True,True,13,53,OK,b4e92bd0b00d42c80a9b288121bbf5fae21e7cf245003e8e854cf02f68462e83,,30,True,True,False,False
1,BV7nede6C6k,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:13:24Z,NO,,,,True,True,11,16,OK,bbfa4254cca40a6a4c16d24e92684c0f8b11036912c55a53ac147e9f1ae6723b,,25,False,False,False,False
2,PDVNoSynU7Y,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:13:41Z,YES,232|270,232|270,232|270,True,True,28,40,OK,5d7416b78fa074c69c714f211a5cf011f3ee8b61693122763f78460145d758f7,,30,True,True,False,False
3,UjX5lMFlwhA,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:14:00Z,NO,,,,True,True,12,19,OK,98f321cac3354f5d62975822618cf06e0400a42cff152f88fcb8976fc2c381f8,,25,False,False,False,False
4,WE47jDv_JLs,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:14:18Z,NO,,,,True,True,11,15,OK,eb25ba3dc3e7040d7763219c56b0056bb2e075366a9bd69d29712d1422118266,,25,False,False,False,False
5,Y8Twp7LgPb8,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:14:36Z,YES,232|270,232|270,232|270,True,True,14,19,OK,68cef8236572e02dc5a17192e3b74b40f88a39b1c3df69373bd55f57d6db59f4,,30,True,True,False,False
6,fixywKCSSpw,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:14:53Z,NO,,,,True,True,11,16,OK,d873eecb02c12750115d6d50ed2352b4b83feb88d43e5d24b46b0ecbcc54637f,,25,False,False,False,False
7,g0lXjTWhxQo,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:15:11Z,YES,232|270,232|270,232|270,True,True,29,41,OK,5faa4785f4715342af59dd4d3c47aa33da4786b93125274db6a900de71b90f7e,,30,True,True,False,False
8,iiBVytTmfKw,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:15:28Z,YES,232|270,232|270,232|270,True,True,14,19,OK,76e96958547e6f265a9cc1541977f519a89d64c166aebb2fcf3fbc5fde21e85a,,30,True,True,False,False
9,iwnByd_Iowk,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:15:46Z,YES,232|270,232|270,232|270,True,True,28,40,OK,06b902116d15710a39d19d90b528d5711e12226771c67b4f08bbced70d84bdbc,,30,True,True,False,False
10,mxV9XV3uwVs,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:16:03Z,YES,232|270,232|270,232|270,True,True,28,40,OK,4028593f4cac67abac7fd130307debafc22bfbd062ebebc551bc551e1c24ae49,,30,True,True,False,False
