table,sport,sha256,rows,n_frames,harness_verdict,harness_passed,eligibility,eligibility_reason,modal_stride,modal_pairs,bar_ft,p95_ft,p999_ft,max_ft,fifth_largest_ft,above_bar_count,above_bar_rate_pct,c0_fail,c1_fail,c2_fail,c3_fail,c4_fail,c5_warning,c5_fail
football_17DHInPNTnY,football,d8a6e3659807b20c33cd9e93e401a5a108cee5e578caa4e4de65df0662d478fb,0,0,FAIL,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
football_20pezoC5jRQ,football,c9aa1d4c6405f711cadaf219f6f68aad0a33bf4404e03354ece3bb9f0d4ca146,39255,7781,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_22iadGbRAyE,football,dc26b6c808f0d5d56942ce604b7dbdf3a8470668aa5c4069e0f3cb457ecb068b,118924,9593,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_34GmmlakBYU,football,f5095f0d90583bd56d987587e6ff2dcb0f9f7e6f1507c7540d89ea98f86315eb,112988,9542,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_5x9vPq9HsTI,football,3dd1f03b9c8c5b24766593e3398665e218f57850039a930c9bb69d0a5eb7ddf5,65146,8943,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_6oUm30M1HZ8,football,3aa860675c1bb3fd8633547d5909a1d6833ea3819832988576486bd67d4afa60,23081,7163,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_7Af2PqyvT8A,football,d8a6e3659807b20c33cd9e93e401a5a108cee5e578caa4e4de65df0662d478fb,0,0,FAIL,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
football_B-aAcjvtu9I,football,d973332c19e9e4ad565b7c1cb132f1814066a48457bce58be5d23470db34d951,66722,8825,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_B7znSVfBnM4,football,18a7473adf2ebead8047cce6787e8aebc6f5c87ac3c324b1539acf5c96e7832c,146689,9585,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_DrxDFaRonuE,football,500fe6bb4a5843592c569105ec593eaf028f55fd84ffbb42050e815ad88b4cb4,7218,6448,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_GU6CrRLjTkw,football,aa2b277ab177cca49e534f65ee67185b80dd43492e5f2c446cc4b5c63223f27d,5539,5397,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_J9WamaxtwdQ,football,7dfd796a12c9b12b315459ccf2eac57fe0fef8dd6692e82d9c63ffd1b169b9e9,89052,9511,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_L3WOKdFhdkQ,football,01094047693c49ed4d8f6793768b014a03265e898caeaf679be4f13fe1a731a0,108705,9409,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_O-vEbXeVc_0,football,d8a6e3659807b20c33cd9e93e401a5a108cee5e578caa4e4de65df0662d478fb,0,0,FAIL,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
football_P_TdW-vpywo,football,bdd7d354d52c094a7edb43d5ea55bb49373f88a596152d5d4b2fae4dbad055a6,12578,4300,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_TqKwnvxbKDw,football,1a03f1d1c2f14edb902f1f03eebc847934b56fd77a3edf35be6688bb3f1cddfd,67082,8692,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_VEoXn84p9o8,football,4b0d5345062772f52b29f2626f49f38d18c5795c2b9b3ab36041587e333951f7,5960,4954,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_Z8Ezd95NnjM,football,3e8e3dfdc8c42643b2812084dd218171eafc0ba8f57f0534c1f5c6064c012010,1220,79,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_ZHJWGNGE0Cg,football,be0f08fa2ef878e7aeadb40c04d30bdc05efddaa25079fa34a5f769d03e91caa,31467,7332,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football__Bsqeb795J0,football,8bff3d569bf9508e5a23a2bf4009b6582b5674a03f550e32e5df9494bc0debd3,59321,8934,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_a7OUF22mt-I,football,d8a6e3659807b20c33cd9e93e401a5a108cee5e578caa4e4de65df0662d478fb,0,0,FAIL,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
football_aL_ZQEaQ_LY,football,ea820d29254abe062e23a91b27aa3bc0bb180dd08df3063a2ae090e4dd7d657b,9575,9575,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_bj9lY3FEDw0,football,1021df1e0f193424abc044be09ab8c77ee54e7e71071eb2874bedd7d0fa256e3,43005,7909,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_cxbBz4nkovE,football,2635b52ad0f4fe4bbb0afa4acc8b8e903cb9ec43d1fa1f2bc62b6df226272e43,40470,9601,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_eU55ugTsdz8,football,3fc6faff85f60f937ad9e170d7fef71001a71766c9794b06ea35dbec052e517a,9096,568,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_fh9CTJ0-PpQ,football,dec2b286947b78da71c04c4c714f0fb0f1b249af6ce8b9a08a1b2ba01166b55e,58652,8547,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_gek9fXGlwas,football,c903fb49f339027a3340535f51e18a32f98c1f449dbee95fb87605f0ba1426a0,103205,9527,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_h-_3BmAh9po,football,d7b468a950ac3dbdcafaf2773b6391516dc52d6f1c8528200bcf813c72a7e374,99581,9358,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_iaDDTxNEOfE,football,706486dc1958c2aeef87b05d9397391476b90d928febe7ddbc29896e00da42a6,6086,6012,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_jK1AuQzymVE,football,e88cc61f0ce7ff42aed301899611f0ac88fb660f5a040b14143d73837d7dac60,81441,9439,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_kXfNJsCLLIA,football,3983dfb322800b5180f84e838b56bde313c9692cbbcee89264d21d7f04cf00cb,96562,9499,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_lsYEcWf4Zbg,football,176f93e59d8c9e16659885c28f073bdeeee02ad26927c91e9f8aaebc8d1f8485,16305,7673,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_m8UWuQoflJo,football,5a301f50bcf5b5670710ef7be51a3fa01b5bbb0da418385148df583011036b03,13583,765,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_owXX5PI64gU,football,ad7653f014cd565deaa5e3c10a408a5f90bc7709f70fb0c59cadb8424e3e1deb,9635,9591,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_qzjIo3_M_3U,football,2e2fa678d115e070733e5f2e28fa71c23961ee57e7d1157a05a7bb1475614b24,9591,9591,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_r3nqqnCyZw8,football,e398d61e40a7562e64b4aa79c4089bf21f620c4cae990ad8c5199c9616f8098d,6155,384,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_tEpTKZKk7ks,football,815c7a1bda15de3de77b7a309357f56494f02f2db0c6eb93b52b40035e1f335c,61273,8294,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_tKc73Meexzo,football,a4a6b4c02b7f3e2667e125bced0669c9e04747f88d0710dd8c8f6b26f778d1c2,68965,8748,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
football_wHZt1eY3A9s,football,c63d34f9ff4858e3eb17042f3a9623c8f0df960ae34868340ed27de887f0f383,8578,513,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_xnHO7JWdRcQ,football,6f16b399e82772b2a74a03d21abaf53c0e3df190993b49e623995228eecea6bf,9877,555,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_yaLoyksqqFY,football,ec80fd8a963d215dc153e26da254f1a1b7b9f14c2da4438768d9abebf9a90f72,872,45,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
football_yahhMkUWd7c,football,090c2e89d77db8a7fec22be1ee6130faf8fa4fe0aa3cd2d912405b60b340cf52,4697,268,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
g89_tennis_09,tennis,3fb0138cf32169bea6b1c283cd50ce641b71542bacdd2c19e3e1bacc6668d433,2850,1226,FAIL,false,eligible,,2,2430,8.000000,1.501242,48.699145,50.791508,46.375234,19,0.781893,false,true,true,true,true,true,true
g89_tennis_10,tennis,95306dba89d198f27db2bec53a54a32923552a8d6d46a0cc37c4201bb8f8c445,2103,880,PASS,true,eligible,,2,1726,8.000000,1.554966,31.763478,45.213780,4.168472,3,0.173812,false,true,false,false,false,true,false
g89_tennis_nyYk2nPZAwY_720p,tennis,9232e98deb96d0bc6128a1e044313db7d031f6bddbb966fd07b4f6ab2cfb5f29,5333,2245,PASS,true,eligible,,5,4396,8.000000,1.734368,17.037303,56.389551,18.526297,12,0.272975,false,true,true,true,false,true,false
kbo_01,kbo,3da602771afecd565b9988bd063b0d80b01d5dcf6e7cf0aad4dec0f018f58126,5300,3036,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_02,kbo,d1d9ce10b466206e05f38b22bccbdf1d8489eaf98e38e3e084fa70f1f1d59db5,2000,1326,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_03,kbo,5a45a78b9007239e75d6b80d77a4d7b99b9cdcb65379296c8fa5d31216611164,3678,2245,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_04,kbo,60d63d86e1e9b43786a2213a33f8d898e9d6c9cc2944d3e861c779be2a449e27,2717,1616,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_05,kbo,305c178cd97d8c13756bc10b52a3dfdff43e54c188a2b32d80c602a5def2ec71,3298,1930,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_06,kbo,8cd6b02be64d9610cce30a3077ac4ed78c9263f046500da2c49a5e34cf96a914,5285,3001,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_07,kbo,cea29073da7ac119eaffcfd620484fc2be023bcbbdccc3a14a34a59877a99d0f,1809,1242,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_08,kbo,eff84972872bd83979a143a8d9770297920dc420017c2741871a3bea7bbbd5d3,2437,1436,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_09,kbo,437e329bd3aed36eb203cd1688dc1470146a3feb7db717d33b6fd73ea6204e80,1811,1131,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
kbo_10,kbo,fc09594bbda8430b4849c094588f90028d29591c6d0bdc257c44146e16c77eb4,82967,18966,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_1IwwT5ysVSY,kbo,0ab47566e1d1ccf12fbb59d1ba99aeb22f2d357eea2f946eea275457ece9c9e3,30119,8122,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_2WqtNa-uUZU,kbo,40fe9b163d6679b5b404cae06a39f0853a1ac669ee2119d8fc906a1e28957422,50366,9551,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_2ZtgAvs67so,kbo,79f7c9ee8f9220e60e0d3b93b9dba545121ddffb334f1a1a318e1a610d3c90d8,13314,6682,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_64cdlFkEuCc,kbo,f35b430d3a2a4b6ecff00b51447daf0461ff6b083d9dd7f40cc768c124853ba0,33942,8766,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_8yxSFxuR2Lk,kbo,2ca73dc13ecef2fd1c8bfd0fa9d7946879d35321229d9d2b29966dfc5ba730d0,13488,6932,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_9Hv-cd-BmSY,kbo,114ac14a6577f95b879200a1af5871c41f0a4d749257447312a2cc05235a54d7,23001,8536,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_FA3W5xMyYRY,kbo,fe3c91b9f6116996e9010f80eb258c030bb5fb2d2260ea7cd0f364e439f7fa1d,41028,9454,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_FDSWjM_OaTs,kbo,587ec25282b664248477ad30d5b631a220c29731573ccc6b0cf400542d9f1812,48793,8499,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_Lh8n_DUXyGE,kbo,ca31adad97a11ac4f1afe2a9cffa6d85ead4b73528b9453cdea3f1305cbc86d5,13767,7943,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_OJfFKo9Dq2A,kbo,d42e83999ebb8221ff4c2db1f09f54404a4e860ff0910a8e5259264cea76d6a7,44485,8414,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_QrO9d2csjsg,kbo,467fea5dde78e7b711f93e54d77a0bb04b91cb28db930bff9449441da1a47e40,11400,6294,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_UuivYJVZYtY,kbo,44a4d168f87ab089f19e51b9b37aff4fcf9fb9cbbf430e36318bc844fa6bd353,14323,5603,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_W-tKSex-WPU,kbo,a431843f809b52c31dfd9d20567c0c4ad1757f892e1d3d916fad2e868585c985,17107,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_Y4HqKr58TZk,kbo,fd9bb7f15bd0376ea11691cc649f4543e64cf4e8d74d4747a8523f661f76c081,18736,9190,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_ahHGpSJWcIU,kbo,6d92521f6f7799a7bdbf9c0c78fcc367dfdd29bd5223a0325cb9d102fcf8846e,21945,8547,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_bGQwZl43E9Y,kbo,ceee612eb0ec46025b456b5505ae23e74cdf335423b6620525eb4b80ae77521b,10009,4992,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_cyRosVcG7zI,kbo,f74f9c405fc6339dcac250eb9ad6e78bf7024b05a59b3505e941192b81223e9a,21208,8951,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_eeH8RMtS24U,kbo,cb81851d376bf3d14855af69b15b6c75606f2de2af25e39ed5c3761f2777a0ea,13907,7283,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_fy6pf01O2gE,kbo,0fdd9ca424d824923177ee1b798d5a81262fb1508bd2e887031bd6e5e7038b12,19500,8055,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_h7IUxRgXbL8,kbo,3cbc6358be95268d9e144c8baec913112088ea9d7a53139aa51127509f81cadf,16502,7559,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_hl_xGuMseB8,kbo,0b818a3b0b3e234b4423c9055c994bc7f2daa77010a97b95b1ac84c023c88b56,9950,5533,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_lIxmDQyQDtc,kbo,0c2954078c2f137eaf352c9d1f7b60c3aec77a970a92424c5856607b18dd4faf,20094,6905,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_lrK_Hv6BEE0,kbo,cb126cee284e7b504e9dcb68c85a0a6c5d7e314367e1b61370f6ca7a42b8cd86,11810,4911,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_qLQbGFQ0-EQ,kbo,c45688b9618748f679b00a57719fb4775f4b93502e082331d2427c05ad767a9c,31494,7334,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_tHih8xD7MSY,kbo,7557dfac47dafa3222919572d4b05990ec1ea1991058cb1f0f7d4046d3d80dcf,37621,8754,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_tzC71aneg9c,kbo,e44e7d107aabfe41bf79f4ffa1f091c6555415408f25cc362981f96d44b0469c,21312,7097,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
kbo_vPUqzscNQIk,kbo,a5181ed3359f335bf67cacfba819e0cea8f6f627abac1acadb972d4f84c98b10,28965,9564,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_2026-08-30_03d78bee,baseball,3bcbf94cf8db8a6a8736d6b0979468146fb85238b5f2d364d904ec37a0ecb1a6,2064,1235,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_08b16ce9,baseball,54688087d750397e65257c03aa8989543a6e14b4cf943edd4905e75c2f5ee951,3436,1873,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_0f36e8cc,baseball,fe8e9802ec84924600ec9603c55c9dd9da60827efbefce9ea5aa419412c8d98d,4043,2254,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_10893dca,baseball,b2bbca14864e33cfb30c48dc64faf6d876622ceaf6311f889b27b62b819af045,3061,1857,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_1c6706c6,baseball,46e14e5b8f577f04c1cb49078d0ea2494ae54d4516b2aca7312ef1615c17ddec,670,335,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_2143de43,baseball,477d9b3b9477ae50793cd816a279593521e1a137b6b9de70a517db8cfca2a56d,2976,1763,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
