step_index,track_id,frame_gap,image_displacement_px,court_displacement_ft,speed_ft_per_s,implausible,secant_scale_ft_per_px,midpoint_foot_y_px,before_source_frame,before_foot_x_px,before_foot_y_px,before_court_x_ft,before_court_y_ft,after_source_frame,after_foot_x_px,after_foot_y_px,after_court_x_ft,after_court_y_ft
0,1,1,1.0606601717798212,0.04491558550032718,1.3474675650098156,False,0.0423468201176607,862.875,19599,1137.0,863.25,34.97469711303711,24.89366340637207,19600,1137.75,862.5,35.003578186035156,24.859264373779297
1,2,1,8.657547285461396,0.404029342476299,12.12088027428897,False,0.04666787591848153,797.625,19599,382.875,793.5,16.469499588012695,23.864559173583984,19600,380.25,801.75,16.37373924255371,24.257076263427734
2,3,1,6.408002808988148,0.14987375507548528,4.496212652264559,False,0.023388528304835593,753.375,19599,1351.5,752.25,42.14480972290039,19.088462829589844,19600,1357.5,754.5,42.25900650024414,19.18552589416504
3,5,1,1.0606601717798212,0.045128700116882574,1.3538610035064773,False,0.042547746505042415,616.125,19599,1559.625,615.75,50.733665466308594,11.038387298583984,19600,1560.375,616.5,50.735694885253906,11.083470344543457
4,4,1,4.698736532303125,0.30216522347842995,9.064956704352898,False,0.06430776048009679,555.1875,19599,941.25,553.125,34.18347930908203,9.029632568359375,19600,939.0,557.25,34.05153274536133,9.301466941833496
5,7,1,0.375,0.009379468111696068,0.281384043350882,False,0.025011914964522847,868.5,19599,630.75,868.5,22.42146873474121,26.531063079833984,19600,631.125,868.5,22.430814743041992,26.530271530151367
6,8,1,1.5,0.07406949115167048,2.2220847345501147,False,0.049379660767780324,790.5,19599,915.0,789.75,30.303592681884766,22.15985870361328,19600,915.0,791.25,30.28681182861328,22.23200225830078
7,6,1,34.5,1.553547093302794,46.60641279908382,True,0.04503035053051577,849.75,19599,769.5,867.0,25.874553680419922,26.07806968688965,19600,769.5,832.5,26.167909622192383,24.552471160888672
8,3,1,4.743416490252569,0.1092106279235094,3.276318837705282,False,0.02302362192903165,755.25,19600,1357.5,754.5,42.25900650024414,19.18552589416504,19601,1362.0,756.0,42.348026275634766,19.248790740966797
9,2,1,5.045109017652641,0.20976350717773004,6.292905215331901,False,0.04157759652839525,803.625,19600,380.25,801.75,16.37373924255371,24.257076263427734,19601,376.875,805.5,16.272687911987305,24.440895080566406
