season,games_total,m0_column,m0_time,valid_prestart_m0_games,live_ml_games,active_s309_mask_ticks,active_games,canonical_landmark_states,landmark_games_any,games_all_7_regular_landmarks,ot_start_states
2024-25,656,ABSENT,ABSENT,0,656,90245,656,178,152,0,31
2025-26,937,ABSENT,ABSENT,0,937,130821,937,257,218,0,45
