section_name,arm,mode,gate,measurement,threshold_v1,status_v1,threshold_v2,status_v2,direction
3eeaJz1PJTM_s6295,A2_ID_MERGE,M1,median_step_distance,87.38577214247942,8.408436,REJECT,76.995468,REJECT,max
3eeaJz1PJTM_s6295,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s6295,A5_BALL_SHIFT,M1,median_step_distance,21.587033144922902,8.408436,REJECT,76.995468,PASS,max
3eeaJz1PJTM_s90,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s90,A0,M1,median_step_distance,16.385621549285176,8.408436,REJECT,76.995468,PASS,max
3eeaJz1PJTM_s90,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s90,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s90,A2_ID_MERGE,M0,median_step_distance,2.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s90,A2_ID_MERGE,M1,median_step_distance,138.60555533859622,8.408436,REJECT,76.995468,REJECT,max
3eeaJz1PJTM_s90,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
3eeaJz1PJTM_s90,A5_BALL_SHIFT,M1,median_step_distance,16.385621549285176,8.408436,REJECT,76.995468,PASS,max
6FlZaoWSfFw_s337,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
6FlZaoWSfFw_s337,A0,M1,median_step_distance,11.852349955359813,8.408436,REJECT,76.995468,PASS,max
6FlZaoWSfFw_s337,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
6FlZaoWSfFw_s337,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
6FlZaoWSfFw_s337,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
6FlZaoWSfFw_s337,A2_ID_MERGE,M1,median_step_distance,22.360679774997898,8.408436,REJECT,76.995468,PASS,max
6FlZaoWSfFw_s337,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
6FlZaoWSfFw_s337,A5_BALL_SHIFT,M1,median_step_distance,11.852349955359813,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A0,M1,median_step_distance,14.035668847618199,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A2_ID_MERGE,M1,median_step_distance,313.765836253726,8.408436,REJECT,76.995468,REJECT,max
7XQ5Ud4FGFE_s1431,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s1431,A5_BALL_SHIFT,M1,median_step_distance,14.035668847618199,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A0,M1,median_step_distance,14.317821063276353,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A2_ID_MERGE,M1,median_step_distance,214.1051143714227,8.408436,REJECT,76.995468,REJECT,max
7XQ5Ud4FGFE_s2772,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s2772,A5_BALL_SHIFT,M1,median_step_distance,14.317821063276353,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A0,M1,median_step_distance,16.0312195418814,8.408436,REJECT,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A2_ID_MERGE,M0,median_step_distance,4.47213595499958,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A2_ID_MERGE,M1,median_step_distance,121.15972711152732,8.408436,REJECT,76.995468,REJECT,max
7XQ5Ud4FGFE_s90,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
7XQ5Ud4FGFE_s90,A5_BALL_SHIFT,M1,median_step_distance,16.0312195418814,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s1177,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
