section_name,ledger_decoded_frames,ledger_evaluated_frames,ledger_stride,implied_stride,m0_player_frames,m1_player_frames,m1_player_rows,held_rows_dropped,ratio_vs_evaluated,ratio_vs_decoded_over_stride
0SQ709_N0Yg_s1325,007793,001299,000006,5.999230,000492,000212,000320,001046,0.163202,0.163223
0SQ709_N0Yg_s2560,007793,001299,000006,5.999230,000477,000030,000079,000850,0.023095,0.023098
0SQ709_N0Yg_s3795,007793,001299,000006,5.999230,000430,000068,000087,000751,0.052348,0.052355
0SQ709_N0Yg_s5030,007793,001299,000006,5.999230,000493,000391,000686,000704,0.301001,0.301039
0SQ709_N0Yg_s90,007793,001299,000006,5.999230,000470,000451,001226,001307,0.347190,0.347235
3eeaJz1PJTM_s6295,003901,001301,000003,2.998463,000434,000226,000289,000671,0.173713,0.173802
3eeaJz1PJTM_s90,003901,001301,000003,2.998463,001000,000886,002050,003239,0.681015,0.681364
6FlZaoWSfFw_s337,003898,001300,000003,2.998462,000808,000381,000466,001408,0.293077,0.293227
7XQ5Ud4FGFE_s1431,003901,001301,000003,2.998463,000980,000785,001257,003460,0.603382,0.603691
7XQ5Ud4FGFE_s2772,003901,001301,000003,2.998463,000882,000376,000456,001650,0.289008,0.289157
7XQ5Ud4FGFE_s90,003901,001301,000003,2.998463,000980,000945,002305,002521,0.726364,0.726737
AIMOY6CoQKI_s1177,003897,001299,000003,3.000000,000903,000373,000482,002093,0.287144,0.287144
AIMOY6CoQKI_s2264,003897,001299,000003,3.000000,000854,000122,000160,002040,0.093918,0.093918
AIMOY6CoQKI_s3351,003897,001299,000003,3.000000,000782,000025,000049,001726,0.019246,0.019246
AIMOY6CoQKI_s4438,003898,001300,000003,2.998462,000768,000580,000892,000629,0.446154,0.446383
AIMOY6CoQKI_s5525,003897,001299,000003,3.000000,000643,000078,000095,001025,0.060046,0.060046
AIMOY6CoQKI_s90,003820,001274,000003,2.998430,000909,000210,000269,001973,0.164835,0.164921
IeGm750cb90_s1176,003897,001299,000003,3.000000,000973,000897,002344,002750,0.690531,0.690531
IeGm750cb90_s2262,003897,001299,000003,3.000000,000921,000030,000090,003083,0.023095,0.023095
IeGm750cb90_s3348,003897,001299,000003,3.000000,000945,000031,000052,002436,0.023865,0.023865
IeGm750cb90_s4434,003897,001299,000003,3.000000,000854,000127,000157,002020,0.097768,0.097768
IeGm750cb90_s5520,003897,001299,000003,3.000000,000806,000116,000146,001358,0.089299,0.089299
IeGm750cb90_s90,003897,001299,000003,3.000000,000968,000034,000112,003174,0.026174,0.026174
LPDnemFoqVk_s3306,003898,001300,000003,2.998462,000919,000304,000410,001874,0.233846,0.233966
LPDnemFoqVk_s4378,003897,001299,000003,3.000000,000844,000291,000508,001689,0.224018,0.224018
LPDnemFoqVk_s90,003897,001299,000003,3.000000,000943,000138,000246,001954,0.106236,0.106236
N-eE7ZwTuno_s1308,003897,001299,000003,3.000000,000950,000026,000081,002825,0.020015,0.020015
N-eE7ZwTuno_s2526,003897,001299,000003,3.000000,000896,000831,001683,000941,0.639723,0.639723
N-eE7ZwTuno_s3744,003897,001299,000003,3.000000,000910,000730,001583,001486,0.561971,0.561971
