section_name,mode,tracks_unplanted,plant_n,plant_share_expected,threshold,measurement_unplanted,status_unplanted,measurement_planted,status_planted,detected
0SQ709_N0Yg_s1325,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
0SQ709_N0Yg_s1325,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
3eeaJz1PJTM_s90,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
3eeaJz1PJTM_s90,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
AIMOY6CoQKI_s3351,M0,000010,000003,0.230769,0.149,0.2,REJECT,0.38461538461538464,REJECT,1
AIMOY6CoQKI_s3351,M1,000010,000003,0.230769,0.149,0.2,REJECT,0.38461538461538464,REJECT,1
IeGm750cb90_s3348,M0,000010,000003,0.230769,0.149,0.3,REJECT,0.46153846153846156,REJECT,1
IeGm750cb90_s3348,M1,000010,000003,0.230769,0.149,0.3,REJECT,0.46153846153846156,REJECT,1
N-eE7ZwTuno_s1308,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
N-eE7ZwTuno_s1308,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
OdGDLXvM76w_s2508,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
OdGDLXvM76w_s2508,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
gLdwA_gHN8Y_s3603,M0,000010,000003,0.230769,0.149,0.1,PASS,0.3076923076923077,REJECT,1
gLdwA_gHN8Y_s3603,M1,000010,000003,0.230769,0.149,0.1,PASS,0.3076923076923077,REJECT,1
mJRz1DoW6VU_s3354,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
mJRz1DoW6VU_s3354,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
ouRk-j987wk_s4830,M0,000010,000003,0.230769,0.149,0.2,REJECT,0.38461538461538464,REJECT,1
ouRk-j987wk_s4830,M1,000010,000003,0.230769,0.149,0.2,REJECT,0.38461538461538464,REJECT,1
wptZj4SuFtE_s90,M0,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
wptZj4SuFtE_s90,M1,000010,000003,0.230769,0.149,0.0,PASS,0.23076923076923078,REJECT,1
