player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,4,0.008,13.4,3.35,6.08,0,0.0,0,0,0.0,0,0.0,802.7,0.0
2,green,76,0.146,1445.2,19.02,247.34,0,0.0,0,0,0.0,0,0.0,751.2,0.0
3,green,79,0.152,1611.9,20.4,1190.03,0,0.0,0,0,0.0,0,0.0,1215.4,0.0
4,green,40,0.077,603.5,15.09,174.89,0,0.0,0,0,0.0,0,0.0,801.8,0.0
5,green,87,0.167,2671.6,30.71,2453.91,0,0.0,0,0,0.0,0,0.0,626.4,0.0
6,green,91,0.175,1548.1,17.01,1412.62,0,0.0,0,0,0.0,0,0.0,682.3,0.0
7,green,70,0.135,221.9,3.17,61.39,0,0.0,0,0,0.0,0,0.0,673.5,0.0
8,green,86,0.165,1122.4,13.05,217.51,0,0.0,0,0,0.0,0,0.0,890.2,0.0
9,green,97,0.187,635.6,6.55,235.37,0,0.0,0,0,0.0,0,0.0,628.3,0.0
10,green,100,0.192,170.9,1.71,87.13,0,0.0,0,0,0.0,0,0.0,809.7,0.0
