game,ts,elapsed,outcome_home_win,home_five,away_five,market_prob,p_null,cluster_id,source_order,distance,grid_target_elapsed,game_date,player_snapshot_date,team_snapshot_date,state_key,split_id,p_simulator,n_train,loss_market,loss_recal_null,loss_simulator,paired_loss_recal_null_minus_simulator
401810008,1762128843,143.0,1,1626157|1628384|1628969|1628973|1629011,202696|1630171|1630200|1630581|1641824,0.72,0.7296221714852857,401810008,36609,23.0,120,2025-11-03,2025-11-02,2025-11-02,401810008:120,0,0.484375,1854,0.07840000000000001,0.07310417015233223,0.265869140625,-0.19276497047266777
401810008,1762129924,598.0,1,1627824|1628384|1628973|1629013|1630540,1628989|1630172|1630188|1630200|1641763,0.735,0.7439426277663245,401810008,36627,2.0,600,2025-11-03,2025-11-02,2025-11-02,401810008:600,0,0.453125,1854,0.07022500000000001,0.06556537787521506,0.299072265625,-0.23350688774978495
401810008,1762131363,1087.0,1,203903|1626157|1628404|1628969|1630540,202696|1628975|1630171|1630200|1641824,0.725,0.7343965304671947,401810008,36651,7.0,1080,2025-11-03,2025-11-02,2025-11-02,401810008:1080,0,0.34375,1854,0.07562500000000001,0.07054520302786385,0.4306640625,-0.3601188594721362
401810008,1762133464,1568.0,1,1626157|1628384|1628969|1628973|1630540,202696|1630171|1630200|1630581|1641824,0.79,0.7964097911676349,401810008,36671,8.0,1560,2025-11-03,2025-11-02,2025-11-02,401810008:1560,0,0.65625,1854,0.044099999999999986,0.04144897313240604,0.1181640625,-0.07671508936759397
401810008,1762134723,2036.0,1,1626157|1628384|1628404|1628969|1630540,1628989|1630172|1630188|1630200|1641824,0.93,0.9305631290879096,401810008,36692,4.0,2040,2025-11-03,2025-11-02,2025-11-02,401810008:2040,0,0.5625,1854,0.004899999999999993,0.004821479042062304,0.19140625,-0.18658477095793768
401810008,1762135743,2514.0,1,203903|1628404|1628973|1629011|1630540,202696|1628989|1630200|1630581|1641824,0.9995,0.9994407202800464,401810008,36707,6.0,2520,2025-11-03,2025-11-02,2025-11-02,401810008:2520,0,0.46875,1854,2.4999999999994493e-07,3.127938051514e-07,0.2822265625,-0.28222624970619486
401810010,1762137784,101.0,1,203935|1629029|1629060|1629637|1630559,203952|1628389|1630558|1641796|1642276,0.73,0.7391699917223183,401810010,36728,19.0,120,2025-11-03,2025-11-02,2025-11-02,401810010:120,0,0.46875,1854,0.0729,0.06803229321813548,0.2822265625,-0.21419426928186452
401810010,1762139464,601.0,1,1629020|1630559|1631222|1642261|1642355,203952|1630696|1631107|1631170|1631323,0.6950000000000001,0.7057344769328601,401810010,36756,1.0,600,2025-11-03,2025-11-02,2025-11-02,401810010:600,0,0.453125,1854,0.09302499999999997,0.08659219806597747,0.299072265625,-0.21248006755902255
401810010,1762140785,1064.0,1,203935|1629029|1629060|1629637|1631222,1628389|1630558|1631107|1631170|1641796,0.765,0.7725653979275267,401810010,36775,16.0,1080,2025-11-03,2025-11-02,2025-11-02,401810010:1080,0,0.546875,1854,0.055224999999999996,0.051726498219864296,0.205322265625,-0.1535957674051357
401810010,1762142764,1551.0,1,203935|1629029|1629060|1629637|1630559,203952|1628389|1630558|1631170|1641796,0.815,0.8202596268461396,401810010,36793,9.0,1560,2025-11-03,2025-11-02,2025-11-02,401810010:1560,0,0.375,1854,0.03422500000000002,0.03230660174148897,0.390625,-0.35831839825851103
401810010,1762144025,2063.0,1,1629020|1629029|1631222|1642261|1642355,203952|1628389|1630696|1631107|1641796,0.895,0.8968068452006995,401810010,36814,23.0,2040,2025-11-03,2025-11-02,2025-11-02,401810010:2040,0,0.5625,1854,0.011024999999999997,0.01064882719743239,0.19140625,-0.18075742280256762
401810010,1762145285,2512.0,1,203935|1629029|1629060|1631222|1642355,203952|1628389|1630558|1631107|1631323,0.79,0.7964097911676349,401810010,36832,8.0,2520,2025-11-03,2025-11-02,2025-11-02,401810010:2520,0,0.6875,1854,0.044099999999999986,0.04144897313240604,0.09765625,-0.05620727686759396
401810012,1762215306,113.0,0,1627783|1630174|1630543|1631245|1641716,203507|1626167|1629018|1631157|1631260,0.305,0.3237558732539821,401810012,36851,7.0,120,2025-11-04,2025-11-03,2025-11-03,401810012:120,0,0.484375,1854,0.093025,0.10481786546644851,0.234619140625,-0.1298012751585515
401810012,1762216866,626.0,0,1627783|1630643|1641716|1641767|1642484,1626171|1627752|1628398|1629018|1630175,0.1949999999999999,0.2107573502221159,401810012,36877,26.0,600,2025-11-04,2025-11-03,2025-11-03,401810012:600,0,0.5625,1854,0.03802499999999996,0.04441866067264761,0.31640625,-0.2719875893273524
401810014,1762217045,137.0,1,1626157|1628384|1628969|1628973|1629013,203468|1630551|1641731|1642259|1642273,0.86,0.8648254732530973,401810014,36883,17.0,120,2025-11-04,2025-11-03,2025-11-03,401810014:120,0,0.421875,1854,0.019600000000000003,0.018272152681249106,0.334228515625,-0.3159563629437509
