game,cluster_id,timestamp,n_ticks,loss_recal_null,loss_simulator,paired_loss_recal_null_minus_simulator
401809239,401809239,401809239:120,6,0.31636254199207064,0.268310546875,0.048051995117070645
401809241,401809241,401809241:120,6,0.0874812611015643,0.2942708333333333,-0.20678957223176905
401809510,401809510,401809510:120,6,0.10243283684985166,0.3051350911458333,-0.20270225429598168
401809512,401809512,401809512:120,6,0.37600289199177567,0.3052571614583333,0.0707457305334423
401809774,401809774,401809774:120,6,0.23465156668042939,0.2957356770833333,-0.06108411040290396
401809776,401809776,401809776:120,6,0.03259287007122318,0.2508951822916667,-0.2183023122204435
401809778,401809778,401809778:120,6,0.0015122984225250928,0.24080403645833334,-0.23929173803580825
401809780,401809780,401809780:120,6,0.01958193368688661,0.24117024739583334,-0.22158831370894672
401809782,401809782,401809782:120,6,0.0759888303876271,0.24751790364583334,-0.1715290732582062
401809784,401809784,401809784:120,6,0.03554291556637185,0.3204345703125,-0.28489165474612815
401809790,401809790,401809790:120,6,0.01058450313316552,0.2875162760416667,-0.2769317729085012
401809792,401809792,401809792:120,6,0.0033554461897260814,0.247802734375,-0.24444728818527395
401809794,401809794,401809794:120,6,0.2881631580221582,0.276123046875,0.012040111147158203
401809796,401809796,401809796:120,6,0.2812467234891886,0.2722981770833333,0.008948546405855276
401809798,401809798,401809798:120,6,0.5588456903779305,0.2731526692708333,0.28569302110709716
401809800,401809800,401809800:120,6,0.05193664689764948,0.2817789713541667,-0.2298423244565172
401809802,401809802,401809802:120,6,0.3591295101786079,0.2743326822916667,0.08479682788694122
401809804,401809804,401809804:120,6,0.03162390856167139,0.2711588541666667,-0.2395349456049953
401809806,401809806,401809806:120,6,0.03471507040351116,0.2589518229166667,-0.22423675251315547
401809808,401809808,401809808:120,6,0.488895319382737,0.20438639322916666,0.2845089261535703
401809810,401809810,401809810:120,6,0.021951384325023096,0.22884114583333334,-0.2068897615083102
401809812,401809812,401809812:120,6,0.022880771758296673,0.2924397786458333,-0.26955900688753665
401809814,401809814,401809814:120,6,0.30694297653264446,0.2994791666666667,0.007463809865977796
401809816,401809816,401809816:120,6,0.1142023641265409,0.246826171875,-0.13262380774845908
401809818,401809818,401809818:120,6,0.6023340287336691,0.2854817708333333,0.31685225790033583
401809820,401809820,401809820:120,6,0.04053960786317589,0.3006998697916667,-0.2601602619284908
401809835,401809835,401809835:120,6,0.001519349183012415,0.2919514973958333,-0.29043214821282093
