player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,367,0.238,908.6,2.48,137.9,0,0.0,0,0,0.0,367,1.0,162.9,0.0
2,green,359,0.233,996.0,2.77,236.17,0,0.0,0,0,0.0,0,0.0,879.3,0.0
3,green,382,0.248,5.1,0.01,5.1,0,0.0,0,0,0.0,0,0.0,962.1,0.0
4,green,431,0.279,1.0,0.0,1.0,1,0.002,0,0,0.0,0,0.0,858.8,0.0
5,green,460,0.298,1379.0,3.0,261.0,82,0.178,0,2,0.0043,460,1.0,147.6,0.0
6,green,321,0.208,40.5,0.13,40.52,7,0.022,0,0,0.0,0,0.0,787.8,0.0
7,green,381,0.247,3587.5,9.42,217.06,196,0.514,0,105,0.2756,0,0.0,996.9,0.0
8,green,364,0.236,1890.2,5.19,325.25,0,0.0,0,0,0.0,38,0.104,459.8,0.0
9,green,291,0.189,1209.5,4.16,340.57,142,0.488,0,3,0.0103,0,0.0,1077.8,0.0
10,green,249,0.161,2584.4,10.38,245.46,0,0.0,0,0,0.0,0,0.0,1057.6,0.0
