readout_id,source_path,source_sha256,source_bytes,source_row_count,source_file_rows,source_columns,selection_rule,n_ticks,n_games,rho,n_eff_published,n_eff_direct,delta_direct_minus_published,byte_identical
S137_S112_mlb_before,data/cache/eval_gate/s112_rescore_2026-09-03_mlb_fullmodel_pre_s132.csv,1b7102e0f71ee91d610651036e9a18d7b0bbde4d0d9cb7779cf79239df125810,69535,276,276,event_id|event_date|corpus_unit|cluster_id|fold|y|p_close|p_elo|p_enet|p_hgb|loss_close|loss_elo|loss_elastic_net|d_elastic_net|loss_hgb_offset|d_hgb_offset,all ticks; cluster=cluster_id; loss=loss_close-loss_elo,276,26,0.019973684664706854,231.53,231.53300700573214,0.0030070057321438526,false
S137_S112_mlb_after,data/cache/eval_gate/s112_rescore_2026-09-03_mlb_fullmodel.csv,596bab7f250a15092260472978997bd3d69266d320d196f400024c6855aab178,70695,281,281,event_id|event_date|corpus_unit|cluster_id|fold|y|p_close|p_elo|p_enet|p_hgb|loss_close|loss_elo|loss_elastic_net|d_elastic_net|loss_hgb_offset|d_hgb_offset,all ticks; cluster=cluster_id; loss=loss_close-loss_elo,281,26,0.00715113011826152,281.0,262.5834267623995,-18.416573237600517,false
S137_S114_before,data/cache/eval_gate/s114_ingame_ensemble_series.csv,916993fd8cb51b9f1907b3dd4e818198b50b3b09433479be4b5f1cc8ee326b8b,44158218,192635,192635,game|ts|y|market|model|informative|fold|p_null|p_k1|p_null_k1|p_k3|p_null_k3|p_k5|p_null_k5|p_k10|p_null_k10,all ticks; cluster=game; loss=(y-p_k5)^2-(y-market)^2,192635,673,0.2489880112471822,2369,2674.7554542625944,305.7554542625944,false
S137_S114_after,data/cache/eval_gate/s114_ingame_ensemble_series.csv,916993fd8cb51b9f1907b3dd4e818198b50b3b09433479be4b5f1cc8ee326b8b,44158218,192635,192635,game|ts|y|market|model|informative|fold|p_null|p_k1|p_null_k1|p_k3|p_null_k3|p_k5|p_null_k5|p_k10|p_null_k10,all ticks; cluster=game; loss=(y-p_k5)^2-(y-market)^2,192635,673,0.2489880112471822,2674.76,2674.7554542625944,-0.004545737405805994,false
S137_S116_before,data/cache/eval_gate/s116_pooled_ingame_2026-09-03.csv,5b9c4dda0a7388c82106249ef647f38f14dd86cfc618f3f5087451c42545bc07,73814835,202304,202304,sport|cluster|date|ts_utc|fold|y|margin|frac_elapsed|margin_sigma|gap|p_line|p_null|p_persport|p_pooled|p_partial|loss_line|loss_null|loss_persport|loss_pooled|loss_partial|d_partial_vs_line|d_partial_vs_null|d_partial_vs_persport,all ticks; sport=mlb; cluster=cluster; loss=d_partial_vs_line,9669,63,0.6087415552440638,103.06,103.06059446211249,0.0005944621124882588,false
S137_S116_after,data/cache/eval_gate/s116_pooled_ingame_2026-09-03_rerun.csv,f04dbfdaa1c5345d561c7e946d799f9b08892d546398d80b8e37f845479cc406,78465473,202304,202304,sport|cluster|date|ts_utc|fold|y|margin|frac_elapsed|margin_sigma|gap|p_line|p_null|p_persport|p_pooled|p_partial|loss_line|loss_null|loss_persport|loss_pooled|loss_partial|d_partial_vs_line|d_partial_vs_null|d_partial_vs_persport|model_raw|market_raw,all ticks; sport=mlb; cluster=cluster; loss=d_partial_vs_line,9669,54,0.565467846017259,95.09,95.08805957009676,-0.0019404299032430572,false
S137_S119_before,data/cache/eval_gate/s119_real_game_series_2026-09-03.csv,f676e113c3b7479acab4aa219b53d817a843c3e7635be4964c481d5ca2bc18f8,33377586,219828,219828,feature|tick_index|game|timestamp|y|p_e4|p_null|p_candidate|market|x|real_game_seq,all ticks; legacy S106 real-game cluster=game#real_game_seq,15702,88,0.7274489794741419,120.72,120.71720405395529,-0.00279594604471356,false
S137_S119_after,data/cache/eval_gate/s119_real_game_series_2026-09-03.csv,f676e113c3b7479acab4aa219b53d817a843c3e7635be4964c481d5ca2bc18f8,33377586,219828,219828,feature|tick_index|game|timestamp|y|p_e4|p_null|p_candidate|market|x|real_game_seq,all ticks; corrected S131 real-game cluster=game#real_game_seq,15702,76,0.7046935548553656,107.63,107.62999184925432,-8.15074567128704e-06,false
S137_S121_before,data/cache/eval_gate/s119_real_game_series_2026-09-03.csv,f676e113c3b7479acab4aa219b53d817a843c3e7635be4964c481d5ca2bc18f8,33377586,219828,219828,feature|tick_index|game|timestamp|y|p_e4|p_null|p_candidate|market|x|real_game_seq,"informative ticks; corrected S131 real-game cluster; flag_ticks eps=1e-9, game,timestamp keep-first duplicates",15528,76,0.7047425860161315,107.62,107.62011453019696,0.00011453019695295552,false
S137_S121_after,data/cache/eval_gate/s119_real_game_series_2026-09-03.csv,f676e113c3b7479acab4aa219b53d817a843c3e7635be4964c481d5ca2bc18f8,33377586,219828,219828,feature|tick_index|game|timestamp|y|p_e4|p_null|p_candidate|market|x|real_game_seq,"tick-clean partition (15,336 raw ticks, 366 dropped), then informative ticks; corrected S131 real-game cluster; flag_ticks eps=1e-9, game,timestamp keep-first duplicates",15162,73,0.6803061065102569,107.06,107.06240426914886,0.0024042691488546097,false
S137_S102_recap,data/cache/eval_gate/s102_nba_sweep_top10_series.parquet,3d0f8e7e3b2e17e8cfc962900208c382ab3e234ccd92bb67ea4f8c2dc6307f41,59588606,1926350,1926350,hypothesis|game|timestamp|y|market|model_asof|p_null|p_candidate|x|fold|loss_null|loss_candidate|d,all ticks; hypothesis=margin_over_sqrt_rem|raw; cluster=game; loss=d,192635,673,0.29070464643844707,2295.57,2295.4971373056483,-0.07286269435189752,false
S137_S103,data/cache/eval_gate/s103_nba_sigma_2026-09-03.csv,d889c71b27b3c3d81eddc5c71553dc44ec16d14f61b855768a8aee03181cdf4e,68571639,162171,162171,game|game_date|ts|fold|cell|period|y|market|p0_asof|sigma_cell98|sigma_wide|sigma_param|blend_w|p_cell98|p_wide|p_param|p_blend|p_recal|loss_market|loss_cell98|d_cell98_vs_market|loss_wide|d_wide_vs_market|loss_param|d_param_vs_market|loss_blend|d_blend_vs_market|loss_recal|d_recal_vs_market|cluster_id,all ticks; cluster=game; loss=d_wide_vs_market,162171,571,0.2667471573488466,2120.08,2120.084228331924,0.004228331923968653,false
S137_S115,data/cache/eval_gate/s115_ingame_models_2026-09-03.csv,66c011ff0f7ec9dcc71c8c71fc00c36faf7a974e4e7caae044d6cd9dee8e7afb,74895922,192635,192635,game|game_date|ts|fold|y|market|model|p_null|p_hgb|p_mlp|p_hgb_mono|loss_market|loss_null|loss_hgb|loss_mlp|loss_hgb_mono|d_hgb_vs_market|d_hgb_vs_null|d_mlp_vs_market|d_mlp_vs_null|d_hgb_mono_vs_market|d_hgb_mono_vs_null|cluster_id,all ticks; cluster=game; loss=d_mlp_vs_market,192635,673,0.20495099934424713,3239.8,3239.803849871872,0.0038498718718074088,false
