opaque_id,tile_index,angle_degrees,raters_visible,pass
G387_028,1,0.0,2,NO
G387_010,2,30.0,2,YES
G387_027,3,60.0,2,YES
G387_011,4,0.0,2,NO
G387_023,5,30.0,2,YES
G387_013,6,60.0,2,NO
G387_014,1,0.0,2,YES
G387_016,2,30.0,2,NO
G387_021,3,60.0,2,YES
G387_030,4,0.0,2,NO
G387_020,5,30.0,2,YES
G387_001,6,60.0,2,YES
G387_005,1,0.0,2,NO
G387_024,2,30.0,2,YES
G387_022,3,60.0,2,YES
G387_019,4,0.0,2,NO
G387_018,5,30.0,2,NO
G387_003,6,60.0,2,YES
G387_008,1,0.0,2,NO
G387_004,2,30.0,2,YES
G387_017,3,60.0,2,NO
G387_009,4,0.0,2,YES
G387_012,5,30.0,2,YES
G387_025,6,60.0,2,YES
G387_029,1,0.0,2,YES
G387_006,2,30.0,2,NO
G387_026,3,60.0,2,YES
G387_002,4,0.0,2,YES
G387_007,5,30.0,2,YES
G387_015,6,60.0,2,YES
