game_id,terminal_finished_at_utc,terminal_status,terminal_rows,terminal_coordinate_space,g131_census_window_utc,jump_gate_bucket,g131_raw_frame_count,g131_row_count,g131_modal_stride_frames,g131_modal_stride_pair_count,g131_input_sha256
tennis_06,2026-09-02T22:22:22Z,tracked,340,court_feet,2026-09-02T23:36:56Z_to_2026-09-02T23:37:03Z,eligible_reaches_jump_statistic,141,340,2,196,8fd29debfc78d07e5167c6db2e3b04ebbfc593341b6508f46fca1bb3d1a5d9fe
tennis_07,2026-09-02T22:39:07Z,tracked,7128,court_feet,2026-09-02T23:36:56Z_to_2026-09-02T23:37:03Z,eligible_reaches_jump_statistic,2925,7128,2,5718,17a854e4e154294046faf87511a147b5c1b684d1ef825739b5a9dd9572d99f6d
